 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
 Frequencies --    12.7939                27.4553                27.6727
 Red. masses --    17.1554                13.3625                13.0945
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.5111                 0.1348                 0.1332
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1  46    -0.15  -0.00   0.04     0.05  -0.00  -0.15    -0.14  -0.00  -0.05
   2  46    -0.19  -0.00   0.00    -0.02   0.00   0.02     0.01   0.00   0.02
   3   6    -0.06  -0.01   0.00     0.01   0.02   0.10    -0.03   0.06  -0.00
   4   6    -0.05  -0.01   0.01     0.02   0.02   0.15    -0.02   0.06  -0.01
   5   6    -0.05  -0.00   0.01     0.02   0.02   0.17    -0.03   0.06  -0.01
   6   6    -0.05  -0.01   0.01     0.01   0.02   0.35    -0.05   0.07  -0.01
   7   6    -0.05  -0.00   0.01    -0.00   0.02   0.33    -0.06   0.06  -0.01
   8   6    -0.05  -0.00   0.01     0.00   0.02   0.15    -0.06   0.04  -0.01
   9   7    -0.05  -0.00   0.02     0.01   0.02  -0.00    -0.05   0.04  -0.02
  10   6    -0.05  -0.00   0.01     0.02   0.02   0.00    -0.04   0.04  -0.01
  11   1    -0.01  -0.00   0.00     0.00   0.01   0.14    -0.01   0.02  -0.00
  12   1    -0.01  -0.00   0.00    -0.00   0.00   0.13    -0.02   0.02  -0.00
  13   1    -0.01  -0.00   0.00     0.00   0.00   0.04    -0.02   0.01  -0.00
  14   1    -0.02  -0.00   0.00     0.01   0.01  -0.04    -0.01   0.01  -0.01
  15   6    -0.06  -0.01  -0.00    -0.00   0.02   0.03    -0.02   0.06  -0.00
  16   6    -0.06  -0.01  -0.01    -0.02   0.04  -0.03    -0.02   0.07   0.00
  17   6    -0.06  -0.01  -0.01    -0.04   0.04  -0.11    -0.02   0.07   0.01
  18   6    -0.06  -0.01  -0.01    -0.03   0.03  -0.12    -0.01   0.07   0.01
  19   6    -0.06  -0.01  -0.00    -0.01   0.02  -0.06    -0.02   0.06   0.01
  20   6    -0.06  -0.01  -0.00     0.00   0.02   0.02    -0.02   0.06   0.00
  21   1    -0.02  -0.00  -0.00    -0.01   0.01  -0.01    -0.01   0.02   0.00
  22   1    -0.02  -0.00  -0.00    -0.02   0.01  -0.05    -0.00   0.02   0.00
