Entry,Index,NAME,Query,Fragment,ANG1,ANG2,ANG3,ANG4,DIST1,DIST2,DIST3,DIST4,NNNN,PDPL1,PDPL2,PDPL3,PDPL4,V1,V2,abs(N1_PLA),abs(N2_PLA),abs(N3_PLA),abs(N4_PLA),abs(PD_PLA)
npd_t4_aromatic|PYIMPD|111,112,PYIMPD,1,1,180.0,94.367,180.0,94.367,2.022,2.022,2.022,2.022,180.0,83.023,83.023,84.632,84.632,85.633,85.633,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|PYIMPD01|112,113,PYIMPD01,1,1,85.768,180.0,85.768,180.0,2.01,2.015,2.015,2.01,0.0,85.803,82.335,82.335,85.803,94.232,94.232,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|QARJEZ|113,114,QARJEZ,1,1,80.15,175.661,90.402,172.304,2.042,1.985,2.029,2.0,4.499,81.505,84.73,87.432,85.431,96.475,93.139,0.054,0.059,0.057,0.049,0.007
npd_t4_aromatic|QARJEZ|114,115,QARJEZ,1,2,82.23,93.297,90.842,93.656,2.037,1.993,2.009,2.007,2.211,84.667,87.826,88.762,88.218,174.869,175.831,0.022,0.031,0.025,0.029,0.013
npd_t4_aromatic|QARJEZ|115,116,QARJEZ,1,3,82.042,97.372,88.468,92.165,2.018,2.015,1.985,2.008,3.193,83.667,77.887,89.691,86.554,179.063,173.031,0.045,0.037,0.046,0.032,0.022
npd_t4_aromatic|QEBQUL|116,117,QEBQUL,1,1,86.186,180.0,86.186,180.0,2.032,2.021,2.021,2.032,0.0,86.239,84.421,84.421,86.239,93.814,93.814,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|QOMPOZ|117,118,QOMPOZ,1,1,81.343,175.529,89.98,173.793,2.021,2.014,2.017,2.019,2.564,89.154,84.023,88.293,85.904,94.247,94.358,0.04,0.042,0.024,0.02,0.038
npd_t4_aromatic|QOMPUF|118,119,QOMPUF,1,1,81.085,96.133,88.0,94.873,2.031,2.021,2.04,2.01,-3.255,87.453,87.929,88.015,88.101,176.033,175.51,0.038,0.044,0.041,0.041,0.007
npd_t4_aromatic|QOMQAM|119,120,QOMQAM,1,1,80.78,176.446,89.566,174.361,1.98,2.001,1.983,2.002,-0.161,77.704,89.96,87.48,89.266,95.867,93.755,0.007,0.007,0.002,0.003,0.019
npd_t4_aromatic|QOMQIU|120,121,QOMQIU,1,1,180.0,91.605,180.0,91.605,2.028,2.033,2.028,2.033,-180.0,88.708,88.708,88.58,88.58,88.395,88.395,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|QUGXIB|121,122,QUGXIB,1,1,90.189,180.0,90.189,180.0,2.019,2.029,2.029,2.019,0.0,89.981,88.701,88.701,89.981,89.811,89.811,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|RASVUE|122,123,RASVUE,1,1,87.003,180.0,87.003,180.0,2.026,2.011,2.011,2.026,0.0,87.531,88.119,88.119,87.531,92.997,92.997,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|RASWAL|123,124,RASWAL,1,1,87.438,180.0,87.438,180.0,2.026,2.031,2.031,2.026,0.0,86.985,89.026,89.026,86.985,92.562,92.562,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|RASWIT|124,125,RASWIT,1,1,86.648,180.0,86.648,180.0,2.024,2.031,2.031,2.024,0.0,89.087,89.182,89.182,89.087,93.352,93.352,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|RAVJON|125,126,RAVJON,1,1,87.007,180.0,87.007,180.0,2.02,2.023,2.023,2.02,0.0,88.423,89.227,89.227,88.423,92.993,92.993,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|RIRNIQ|126,127,RIRNIQ,1,1,89.781,180.0,89.781,180.0,2.019,2.02,2.02,2.019,0.0,87.38,87.286,87.286,87.38,90.219,90.219,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|SALCOZ|127,128,SALCOZ,1,1,178.881,91.968,177.105,93.861,2.03,2.019,2.027,2.034,179.582,76.591,89.757,81.025,87.845,89.033,85.138,0.003,0.005,0.005,0.003,0.004
npd_t4_aromatic|SALCOZ|128,129,SALCOZ,1,2,177.695,93.022,177.865,93.007,2.022,2.003,2.02,2.022,179.71,89.71,79.056,86.279,79.22,85.222,88.717,0.002,0.007,0.007,0.002,0.019
npd_t4_aromatic|SAZMAJ|129,130,SAZMAJ,1,1,85.397,96.867,81.653,96.098,1.973,2.011,2.005,2.0,-1.22,89.981,84.122,84.089,83.512,177.491,178.328,0.016,0.017,0.015,0.017,0.002
npd_t4_aromatic|SERWIY|130,131,SERWIY,1,1,176.444,87.772,175.91,80.609,2.01,2.033,2.018,2.022,-178.537,89.289,88.64,89.769,89.584,95.752,95.853,0.017,0.009,0.008,0.016,0.016
npd_t4_aromatic|SERWIY|131,132,SERWIY,1,2,95.797,174.732,93.696,176.734,2.014,2.011,2.013,2.05,0.113,88.931,85.605,88.302,89.755,89.164,81.297,0.004,0.005,0.007,0.007,0.023
npd_t4_aromatic|SUPMEX|132,133,SUPMEX,1,1,180.0,90.146,180.0,90.146,2.029,2.022,2.029,2.022,180.0,87.941,87.941,88.714,88.714,89.854,89.854,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|SUPMEX|133,134,SUPMEX,1,2,180.0,91.081,180.0,91.081,2.034,2.027,2.034,2.027,180.0,88.039,88.039,89.824,89.824,88.919,88.919,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|TANSEI|134,135,TANSEI,1,1,91.687,87.361,91.687,89.13,2.041,2.038,2.038,2.041,0.0,85.431,89.976,89.976,85.431,177.082,177.082,0.01,0.01,0.01,0.01,0.04
npd_t4_aromatic|TITDOR|135,136,TITDOR,1,1,91.528,87.968,89.528,91.284,2.018,2.013,2.029,2.033,-6.061,81.233,89.632,86.715,88.569,176.594,174.082,0.079,0.071,0.08,0.075,0.013
npd_t4_aromatic|UKETOU|136,137,UKETOU,1,1,85.76,176.618,81.589,178.38,2.015,2.011,1.992,1.987,-1.783,89.384,82.228,89.69,80.792,96.945,95.73,0.022,0.021,0.026,0.027,0.01
npd_t4_aromatic|UKETOU|137,138,UKETOU,1,2,86.975,171.496,80.601,175.181,2.019,2.045,2.009,2.019,-2.496,86.018,77.393,85.655,89.188,96.312,95.583,0.015,0.012,0.053,0.055,0.082
npd_t4_aromatic|UKETOU|138,139,UKETOU,1,3,86.374,97.084,81.492,95.171,2.002,2.031,1.994,2.026,3.556,88.528,81.929,83.112,85.066,176.075,176.205,0.052,0.044,0.049,0.046,0.011
npd_t4_aromatic|UKETOU|139,140,UKETOU,1,4,88.126,95.218,80.786,95.722,2.012,1.996,2.035,2.029,1.649,85.651,79.248,83.014,88.878,174.422,175.626,0.012,0.033,0.01,0.034,0.045
npd_t4_aromatic|UKETOU|140,141,UKETOU,1,5,86.695,94.455,80.588,98.11,1.994,2.012,1.995,2.002,-1.622,88.065,78.778,88.182,82.88,175.377,174.739,0.011,0.032,0.01,0.034,0.045
npd_t4_aromatic|UKETOU|141,142,UKETOU,1,6,87.817,97.002,81.938,93.259,2.009,2.015,2.012,2.035,-1.515,89.048,89.949,80.237,89.247,174.871,178.81,0.019,0.022,0.017,0.023,0.009
npd_t4_aromatic|UKETOU|142,143,UKETOU,1,7,87.186,176.281,82.221,177.159,2.012,2.017,2.007,2.017,1.887,89.011,83.936,88.037,82.233,96.526,94.081,0.03,0.028,0.021,0.022,0.016
npd_t4_aromatic|UKETOU|143,144,UKETOU,1,8,86.985,94.022,82.173,96.74,2.035,2.023,1.995,2.036,-1.126,89.419,86.199,86.836,83.063,176.66,175.966,0.007,0.023,0.007,0.024,0.033
npd_t4_aromatic|UVOWUY|144,145,UVOWUY,1,1,90.149,180.0,90.149,180.0,2.026,2.02,2.02,2.026,0.0,88.636,88.347,88.347,88.636,89.851,89.851,0.0,0.0,0.0,0.0,0.0
