 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 148   7    -0.05   0.01  -0.03    -0.04   0.00   0.02     0.01   0.02  -0.02
 149   6    -0.05   0.02  -0.02    -0.05   0.02   0.03     0.01   0.01  -0.01
 150   6    -0.05   0.02  -0.02    -0.05   0.03   0.04    -0.01   0.01   0.01
 151   1    -0.01   0.00  -0.01    -0.00  -0.00  -0.00    -0.01   0.01  -0.00
 152   1    -0.01   0.00  -0.01    -0.00  -0.01  -0.00    -0.00   0.01  -0.01
 153   1    -0.02   0.01  -0.01    -0.02   0.01   0.01     0.01   0.00  -0.00
 154   1    -0.02   0.01  -0.00    -0.02   0.01   0.02    -0.00   0.00   0.01
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    15.1340                15.5347                17.9365
 Red. masses --    19.8998                16.2413                11.9208
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.3188                 0.2548                 0.1942
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1  46     0.01   0.10  -0.01    -0.22   0.04   0.01    -0.01  -0.04  -0.05
   2  46     0.08  -0.10  -0.25     0.01  -0.05   0.01     0.05  -0.04  -0.03
   3   6     0.00   0.04   0.04    -0.02   0.05   0.03     0.00  -0.02   0.03
   4   6     0.00   0.05   0.09    -0.01   0.04  -0.01     0.01  -0.02   0.03
   5   6     0.01   0.05   0.14     0.01   0.04  -0.04     0.01  -0.02   0.03
   6   6     0.01   0.08   0.26     0.02   0.04  -0.08     0.01  -0.02   0.06
   7   6     0.02   0.08   0.33     0.03   0.04  -0.12     0.01  -0.02   0.06
   8   6     0.04   0.06   0.27     0.04   0.03  -0.12     0.01  -0.02   0.04
   9   6     0.04   0.04   0.15     0.03   0.02  -0.08     0.01  -0.02   0.02
  10   6     0.05   0.02   0.08     0.04   0.01  -0.07     0.01  -0.02  -0.01
  11   6     0.05  -0.00  -0.02     0.03  -0.00  -0.03     0.01  -0.02  -0.03
  12   7     0.04  -0.01  -0.07     0.01   0.00  -0.01     0.02  -0.02  -0.03
  13   6     0.02   0.01  -0.02     0.00   0.01  -0.01     0.02  -0.02  -0.01
  14   6     0.02   0.03   0.09     0.01   0.02  -0.04     0.01  -0.02   0.01
  15   1     0.00   0.03   0.09     0.00   0.02  -0.02     0.00  -0.01   0.02
  16   1     0.01   0.03   0.12     0.01   0.01  -0.04     0.00  -0.01   0.02
  17   1     0.01   0.02   0.09     0.01   0.01  -0.04     0.00  -0.01   0.01
  18   1     0.02   0.01   0.03     0.01   0.00  -0.03     0.00  -0.01  -0.00
  19   1     0.02  -0.01  -0.02     0.01  -0.00  -0.01     0.00  -0.01  -0.01
  20   1     0.00   0.00  -0.02    -0.00   0.00   0.01     0.01  -0.01  -0.00
  21   6    -0.00   0.04  -0.01    -0.03   0.05   0.05     0.00  -0.02   0.02
  22   6    -0.01   0.02  -0.05    -0.02   0.07   0.09     0.00  -0.02   0.04
  23   6    -0.02   0.02  -0.09    -0.03   0.07   0.12     0.00  -0.02   0.03
  24   6    -0.01   0.02  -0.08    -0.04   0.06   0.10    -0.00  -0.02   0.01
  25   6    -0.00   0.04  -0.04    -0.05   0.04   0.07    -0.01  -0.03  -0.00
  26   6     0.00   0.04  -0.00    -0.04   0.04   0.04    -0.01  -0.03   0.00
  27   1    -0.01   0.01  -0.01    -0.00   0.02   0.03     0.00  -0.01   0.01
  28   1    -0.01   0.00  -0.04    -0.01   0.03   0.04     0.00  -0.01   0.01
  29   1    -0.01   0.01  -0.03    -0.01   0.02   0.03    -0.00  -0.01   0.00
  30   1     0.00   0.02   0.01    -0.01   0.01   0.00    -0.00  -0.01  -0.00
  31   6     0.00   0.04  -0.03    -0.06   0.03   0.05    -0.01  -0.03  -0.02
  32   6    -0.00   0.03   0.00    -0.05   0.02   0.03    -0.01  -0.03  -0.03
  33   6     0.00   0.03   0.01    -0.06   0.01   0.01    -0.01  -0.03  -0.04
  34   7     0.01   0.04  -0.01    -0.08   0.01   0.02    -0.01  -0.03  -0.03
  35   6     0.01   0.04  -0.04    -0.08   0.02   0.04    -0.01  -0.03  -0.02
  36   6     0.01   0.04  -0.06    -0.08   0.03   0.06    -0.01  -0.03  -0.01
  37   1    -0.00   0.01   0.01    -0.01   0.01   0.01    -0.00  -0.01  -0.01
  38   1    -0.00   0.01   0.01    -0.02   0.00  -0.00    -0.00  -0.01  -0.01
  39   1     0.00   0.01  -0.02    -0.03   0.01   0.01    -0.00  -0.01  -0.01
  40   1     0.00   0.01  -0.02    -0.02   0.01   0.02    -0.00  -0.01  -0.00
  41   6    -0.03  -0.05  -0.05     0.02  -0.01   0.00    -0.02  -0.04  -0.01
  42   6    -0.02  -0.05  -0.03     0.09  -0.00  -0.00    -0.02  -0.04  -0.02
  43   6    -0.00  -0.05  -0.01     0.17   0.01   0.00    -0.02  -0.04  -0.01
  44   6     0.00  -0.07  -0.00     0.30   0.01   0.01    -0.03  -0.04  -0.01
  45   6     0.01  -0.06   0.02     0.38   0.02   0.02    -0.03  -0.04  -0.01
